Order,Family,Genus,Species,Subspecies,Genus_Species,Sex,Sample size (Brain),Brain Volume (ml),Brain Volume S.D.,Method,Brain mass (g),Brain mass S.D.,Sample size (Body),Body mass (g),Body mass S.D.,Species Name in original article,Age Class,Reference,Remark
Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,,Chrysochloris_asiatica,unknown,1,,,Mass,0.7,,,49,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,,Chrysochloris_stuhlmanni,unknown,2,,,Mass,0.74,,,39.8,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,,Chrysochloris_stuhlmanni,unknown,1,,,Mass,1.37,,,60.3,,,Adult,Mace GM et al. (1981) J. Zool. 193:333-354,
Afrosoricida,Tenrecidae,Echinops,telfairi,,Echinops_telfairi,unknown,2,,,Mass,0.62,,,87.5,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,,Hemicentetes_semispinosus,unknown,1,,,Mass,0.83,,,110,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Limnogale,mergulus,,Limnogale_mergulus,unknown,1,,,Mass,1.15,,,92,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Microgale,cowani,,Microgale_cowani,unknown,1,,,Mass,0.42,,,15.2,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Microgale,dobsoni,,Microgale_dobsoni,unknown,1,,,Mass,0.56,,,32.6,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Microgale,talazaci,,Microgale_talazaci,unknown,1,,,Mass,0.79,,,50.4,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Micropotamogale,lamottei,,Micropotamogale_lamottei,unknown,3,,,Mass,0.8,,,64.2,,,unknown,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Oryzorictes,hova,,Oryzorictes_hova,unknown,1,,,Mass,0.58,,,44.2,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Potamogale,velox,,Potamogale_velox,unknown,1,,,Mass,3.931,,,640,,,Adult,Stolzenburg J et al. (1989) Glia 2:78-84,
Afrosoricida,Tenrecidae,Potamogale,velox,,Potamogale_velox,unknown,2,,,Mass,4.16,,,660,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Setifer,setosus,,Setifer_setosus,unknown,2,,,Mass,1.51,,,248,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Setifer,setosus,,Setifer_setosus,unknown,4,1.97,,Vol,,,,248,,,Adult,Stankowich T and Romero AN (2017) Proc. R. Soc. B. 284:20161857,
Afrosoricida,Tenrecidae,Tenrec,ecaudatus,,Tenrec_ecaudatus,unknown,3,,,Mass,2.57,,,832,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Tenrec,ecaudatus,,Tenrec_ecaudatus,unknown,1,,,Mass,3.1,,,982,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Ailuridae,Ailurus,fulgens,,Ailurus_fulgens,unknown,1,,,Mass,46.8,,,5590,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Ailuridae,Ailurus,fulgens,,Ailurus_fulgens,unknown,1,,,Mass,41.6,,,5600,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Ailuridae,Ailurus,fulgens,,Ailurus_fulgens,unknown,20,40.85,,Vol,,,,3740,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Atelocynus,microtis,,Atelocynus_microtis,unknown,20,62.18,,Vol,,,,9030,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Canis,adustus,,Canis_adustus,unknown,1,,,Mass,56.5,,,12000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Canis,adustus,,Canis_adustus,unknown,20,51.94,,Vol,,,,11250,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Canis,aureus,,Canis_aureus,unknown,1,,,Mass,84.7,,,18000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Canis,aureus,,Canis_aureus,unknown,20,72.24,,Vol,,,,8760,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Canis,latrans,,Canis_latrans,f,1,,,Mass,84.24,,,8510,,,unknown,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Canidae,Canis,latrans,,Canis_latrans,unknown,1,,,Mass,109.9,,,22000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Canis,latrans,,Canis_latrans,unknown,20,88.23,,Vol,,,,10490,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Canis,lupus,dingo,Canis_lupus,unknown,1,,,Mass,92.3,,,25000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Canis,lupus,nubilus,Canis_lupus,m,1,,,Mass,115.5,,,29030,,,Adult,Hrdlicka A (1905) Brain Weight in Vertebrates,
Carnivora,Canidae,Canis,lupus,nubilus,Canis_lupus,m,1,,,Mass,152,,,29940,,,unknown,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Canidae,Canis,lupus,,Canis_lupus,m,1,,,Mass,119,,,22680,,,unknown,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Canidae,Canis,lupus,,Canis_lupus,unknown,1,,,Mass,183.7,,,78000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Canis,lupus,,Canis_lupus,unknown,20,131.63,,Vol,,,,33110,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Canis,mesomelas,,Canis_mesomelas,m,2,,,Mass,46,,,2850,,,Adult,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Canidae,Canis,mesomelas,,Canis_mesomelas,unknown,1,,,Mass,54.8,,,8000,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Canidae,Canis,mesomelas,,Canis_mesomelas,unknown,1,,,Mass,71,,,14000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Canis,mesomelas,,Canis_mesomelas,unknown,20,56.83,,Vol,,,,7690,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Chrysocyon,brachyurus,,Chrysocyon_brachyurus,unknown,1,,,Mass,134.3,,,24000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Chrysocyon,brachyurus,,Chrysocyon_brachyurus,unknown,20,120.3,,Vol,,,,23100,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Cuon,alpinus,,Cuon_alpinus,unknown,20,94.63,,Vol,,,,17640,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Lycalopex,culpaeus,,Lycalopex_culpaeus,unknown,20,51.42,,Vol,,,,7320,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Lycalopex,gymnocercus,,Lycalopex_gymnocercus,unknown,20,40.04,,Vol,,,,4390,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Lycaon,pictus,,Lycaon_pictus,unknown,1,,,Mass,138,,,30000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Lycaon,pictus,,Lycaon_pictus,unknown,20,129.02,,Vol,,,,21980,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Nyctereutes,procyonoides,,Nyctereutes_procyonoides,unknown,20,28.5,,Vol,,,,7460,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Otocyon,megalotis,,Otocyon_megalotis,f,1,,,Mass,26.09,,,3335,,,Adult,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Canidae,Otocyon,megalotis,,Otocyon_megalotis,unknown,1,,,Mass,28.5,,,3200,,,Adult,Sacher GA and Staffeldt EF (1974) Am. Nat. 108: 593-615,Brookfield Zoo
Carnivora,Canidae,Otocyon,megalotis,,Otocyon_megalotis,unknown,1,,,Mass,32.7,,,5000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Otocyon,megalotis,,Otocyon_megalotis,unknown,20,26.84,,Vol,,,,3940,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Speothos,venaticus,,Speothos_venaticus,unknown,20,40.45,,Vol,,,,5990,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Urocyon,cinereoargenteus,,Urocyon_cinereoargenteus,m,1,,,Mass,37.28,,,3749,,,Adult,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Canidae,Urocyon,cinereoargenteus,,Urocyon_cinereoargenteus,unknown,1,,,Mass,44.2,,,7000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Urocyon,cinereoargenteus,,Urocyon_cinereoargenteus,unknown,20,40.85,,Vol,,,,3630,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Urocyon,littoralis,,Urocyon_littoralis,unknown,1,,,Mass,37.3,,,3760,,,Adult,Sacher GA and Staffeldt EF (1974) Am. Nat. 108: 593-615,Brookfield Zoo
Carnivora,Canidae,Urocyon,littoralis,,Urocyon_littoralis,unknown,20,27.66,,Vol,,,,2050,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Vulpes,bengalensis,,Vulpes_bengalensis,unknown,20,25.79,,Vol,,,,2270,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Vulpes,chama,,Vulpes_chama,unknown,20,33.45,,Vol,,,,3100,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Vulpes,lagopus,,Vulpes_lagopus,m,1,,,Mass,44.5,,,3385,,,unknown,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Canidae,Vulpes,lagopus,,Vulpes_lagopus,unknown,1,,,Mass,47.8,,,8000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Vulpes,lagopus,,Vulpes_lagopus,unknown,20,35.52,,Vol,,,,3190,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Vulpes,pallida,,Vulpes_pallida,unknown,20,25.03,,Vol,,,,3600,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Vulpes,rueppellii,,Vulpes_rueppellii,unknown,1,,,Mass,31.6,,,3000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Vulpes,rueppellii,,Vulpes_rueppellii,unknown,20,24.29,,Vol,,,,3600,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Vulpes,velox,,Vulpes_velox,unknown,1,,,Mass,31.9,,,3000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Vulpes,velox,,Vulpes_velox,unknown,20,32.14,,Vol,,,,2200,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Vulpes,vulpes,,Vulpes_vulpes,f,1,,,Mass,53.3,,,4625,,,Adult,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Canidae,Vulpes,vulpes,,Vulpes_vulpes,unknown,1,,,Mass,43.6,,,2550,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Canidae,Vulpes,vulpes,,Vulpes_vulpes,unknown,1,,,Mass,46.8,,,2910,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Canidae,Vulpes,vulpes,,Vulpes_vulpes,unknown,1,,,Mass,50.5,,,4235,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Canidae,Vulpes,vulpes,,Vulpes_vulpes,unknown,1,,,Mass,54,,,4293.529412,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Canidae,Vulpes,vulpes,,Vulpes_vulpes,unknown,1,,,Mass,48,,,6000,,,Adult,Mangold-Wirz K (1966) Acta Anat. 63:449-509,
Carnivora,Canidae,Vulpes,vulpes,,Vulpes_vulpes,unknown,1,,,Mass,40,,,9000,,,Adult,Glendenning KK and Masterson RB (1998) Brain Behav. Evol. 51:59-89,
Carnivora,Canidae,Vulpes,vulpes,,Vulpes_vulpes,unknown,1,,,Mass,58.5,,,10000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Vulpes,vulpes,,Vulpes_vulpes,unknown,20,43.38,,Vol,,,,4140,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Canidae,Vulpes,zerda,,Vulpes_zerda,unknown,1,,,Mass,20.3,,,1700,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Canidae,Vulpes,zerda,,Vulpes_zerda,unknown,20,17.29,,Vol,,,,1510,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Eupleridae,Cryptoprocta,ferox,,Cryptoprocta_ferox,unknown,20,32.14,,Vol,,,,9490,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Eupleridae,Cryptoprocta,ferox,,Cryptoprocta_ferox,unknown,1,36.78,,Vol,,,,9500,,,Adult ,Stankowich T and Romero AN (2017) Proc. R. Soc. B. 284:20161857,
Carnivora,Eupleridae,Fossa,fossana,,Fossa_fossana,unknown,20,19.69,,Vol,,,,1790,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Eupleridae,Salanoia,concolor,,Salanoia_concolor,unknown,20,11.02,,Vol,,,,780,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Acinonyx,jubatus,,Acinonyx_jubatus,unknown,1,,,Mass,114.3,,,65000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Acinonyx,jubatus,,Acinonyx_jubatus,unknown,20,111.05,,Vol,,,,58560,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Caracal,caracal,,Caracal_caracal,unknown,1,,,Mass,65.2,,,18000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Caracal,caracal,,Caracal_caracal,unknown,20,55.15,,Vol,,,,11470,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Catopuma,temminckii,,Catopuma_temminckii,unknown,20,68.03,,Vol,,,,4220,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Felis,chaus,,Felis_chaus,unknown,20,39.25,,Vol,,,,7030,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Felis,manul,,Felis_manul,unknown,20,34.47,,Vol,,,,3000,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Felis,nigripes,,Felis_nigripes,unknown,20,20.09,,Vol,,,,2200,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Felis,silvestris,lybica,Felis_silvestris,unknown,20,36.23,,Vol,,,,4310,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Felis,silvestris,ocreata,Felis_silvestris,unknown,1,,,Mass,32.6,,,5000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Felis,silvestris,,Felis_silvestris,f,1,,,Mass,28.48,,,2700,,,unknown,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Felidae,Felis,silvestris,,Felis_silvestris,unknown,1,,,Mass,45.6,,,7700,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Felis,silvestris,,Felis_silvestris,unknown,20,37.34,,Vol,,,,4660,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Leopardus,pardalis,,Leopardus_pardalis,m,1,,,Mass,62.7,,,8618,,,Adult,Hrdlicka A (1905) Brain Weight in Vertebrates,
Carnivora,Felidae,Leopardus,pardalis,,Leopardus_pardalis,m,1,,,Mass,63.5,,,10433,,,Adult,Hrdlicka A (1905) Brain Weight in Vertebrates,
Carnivora,Felidae,Leopardus,pardalis,,Leopardus_pardalis,unknown,1,,,Mass,75.3,,,20000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Leopardus,pardalis,,Leopardus_pardalis,unknown,20,63.43,,Vol,,,,13460,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Leopardus,tigrinus,,Leopardus_tigrinus,unknown,1,,,Mass,26.9,,,2800,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Leptailurus,serval,,Leptailurus_serval,m,1,,,Mass,54.1,,,11340,,,Adult,Hrdlicka A (1905) Brain Weight in Vertebrates,
Carnivora,Felidae,Leptailurus,serval,,Leptailurus_serval,unknown,1,,,Mass,67.6,,,18000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Leptailurus,serval,,Leptailurus_serval,unknown,20,56.8,,Vol,,,,10800,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Lynx,canadensis,,Lynx_canadensis,m,1,,,Mass,69.5,,,14969,,,Adult,Hrdlicka A (1905) Brain Weight in Vertebrates,
Carnivora,Felidae,Lynx,canadensis,,Lynx_canadensis,unknown,1,,,Mass,75,,,12000,,,Adult,"Anthony R (1928) Lacons sue le cervaeu. pp. 358. Paris, Doin.","Data taken from Sacher and Staffeldt 1974, Am. Nat. 108: 593-615"
Carnivora,Felidae,Lynx,canadensis,,Lynx_canadensis,unknown,1,,,Mass,69.2,,,15000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Lynx,lynx,,Lynx_lynx,unknown,20,70.11,,Vol,,,,11030,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Lynx,rufus,,Lynx_rufus,m,1,,,Mass,65,,,6350,,,Adult,Hrdlicka A (1905) Brain Weight in Vertebrates,
Carnivora,Felidae,Lynx,rufus,,Lynx_rufus,unknown,20,57.97,,Vol,,,,6110,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Neofelis,nebulosa,,Neofelis_nebulosa,unknown,20,68.71,,Vol,,,,19490,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Panthera,leo,,Panthera_leo,m,3,,,Mass,229.2,,,124000,,,Adult,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Felidae,Panthera,leo,,Panthera_leo,m,2,,,Mass,258,,,190800,,,Adult,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Felidae,Panthera,leo,,Panthera_leo,unknown,1,,,Mass,259.5,,,84000,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Felidae,Panthera,leo,,Panthera_leo,unknown,1,,,Mass,299,,,220000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Panthera,leo,,Panthera_leo,unknown,20,223.63,,Vol,,,,154470,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Panthera,onca,,Panthera_onca,f,1,,,Mass,147,,,34470,,,unknown,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Felidae,Panthera,onca,,Panthera_onca,unknown,20,151.41,,Vol,,,,85630,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Panthera,pardus,,Panthera_pardus,m,1,,,Mass,135,,,48000,,,Adult,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Felidae,Panthera,pardus,,Panthera_pardus,unknown,1,,,Mass,157,,,46300,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Felidae,Panthera,pardus,,Panthera_pardus,unknown,1,,,Mass,196,,,80000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Panthera,pardus,,Panthera_pardus,unknown,20,125.21,,Vol,,,,50910,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Panthera,tigris,,Panthera_tigris,f,1,,,Mass,225,,,160000,,,Adult,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Felidae,Panthera,tigris,,Panthera_tigris,m,1,,,Mass,302,,,209000,,,Adult,Crile G and Quiring DP (1940) Ohio J Sci 40:219-259.,
Carnivora,Felidae,Panthera,tigris,,Panthera_tigris,m,1,,,Mass,282.2,,,216000,,,Adult,Boddy AM et al. (2012) J. Evol. Biol. 25: 981-994,Estimated age of species: 18.5y; Body mass estimated from Silva & Downing 1995
Carnivora,Felidae,Panthera,tigris,,Panthera_tigris,unknown,1,,,Mass,298.5,,,280000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Panthera,tigris,,Panthera_tigris,unknown,20,278.66,,Vol,,,,159170,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Panthera,uncia,,Panthera_uncia,unknown,1,,,Mass,214.8,,,130000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Panthera,uncia,,Panthera_uncia,unknown,20,101.49,,Vol,,,,32460,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Prionailurus,bengalensis,,Prionailurus_bengalensis,unknown,20,29.37,,Vol,,,,5470,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Prionailurus,planiceps,,Prionailurus_planiceps,unknown,20,21.98,,Vol,,,,2100,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Prionailurus,rubiginosus,,Prionailurus_rubiginosus,unknown,20,18.92,,Vol,,,,1420,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Prionailurus,viverrinus,,Prionailurus_viverrinus,unknown,20,46.53,,Vol,,,,8410,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Profelis,aurata,,Profelis_aurata,unknown,20,57.97,,Vol,,,,11940,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Puma,concolor,,Puma_concolor,m,1,,,Mass,154,,,54432,,,Adult,Hrdlicka A (1905) Brain Weight in Vertebrates,
Carnivora,Felidae,Puma,concolor,,Puma_concolor,unknown,1,,,Mass,174.2,,,105000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Puma,concolor,,Puma_concolor,unknown,20,125.21,,Vol,,,,50400,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Felidae,Puma,yagouaroundi,,Puma_yagouaroundi,unknown,1,,,Mass,56.2,,,9400,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Felidae,Puma,yagouaroundi,,Puma_yagouaroundi,unknown,20,40.04,,Vol,,,,7460,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Herpestidae,Atilax,paludinosus,,Atilax_paludinosus,unknown,1,,,Mass,31.8,,,4000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Herpestidae,Atilax,paludinosus,,Atilax_paludinosus,unknown,20,28.5,,Vol,,,,3670,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Herpestidae,Atilax,paludinosus,,Atilax_paludinosus,unknown,4,27.84,,Vol,,,,3300,,,Adult ,Stankowich T and Romero AN (2017) Proc. R. Soc. B. 284:20161857,
Carnivora,Herpestidae,Bdeogale,crassicauda,,Bdeogale_crassicauda,unknown,20,16.95,,Vol,,,,1250,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Herpestidae,Crossarchus,obscurus,,Crossarchus_obscurus,unknown,20,9.78,,Vol,,,,1310,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Herpestidae,Cynictis,penicillata,,Cynictis_penicillata,unknown,20,10.49,,Vol,,,,590,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Herpestidae,Galerella,pulverulenta,,Galerella_pulverulenta,unknown,20,11.02,,Vol,,,,840,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Herpestidae,Galerella,sanguinea,,Galerella_sanguinea,unknown,20,8.76,,Vol,,,,490,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Herpestidae,Helogale,parvula,,Helogale_parvula,unknown,20,4.76,,Vol,,,,270,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Herpestidae,Herpestes,edwardsi,,Herpestes_edwardsi,unknown,20,10.49,,Vol,,,,1260,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Herpestidae,Herpestes,fuscus,,Herpestes_fuscus,unknown,20,12.55,,Vol,,,,1120,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
Carnivora,Herpestidae,Herpestes,ichneumon,,Herpestes_ichneumon,unknown,1,,,Mass,35.2,,,8000,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
Carnivora,Herpestidae,Herpestes,ichneumon,,Herpestes_ichneumon,unknown,20,23.34,,Vol,,,,3030,,,Adult ,Gittleman JL (1986) J. Mamma. 67: 23-36,Body mass taken from literature
