#taxon1	taxon2	branchsynmean	branchsynrelvar
Odocoileus_virginianus_E	Odocoileus_virginianus_E	0.0122218	0.115946
Rangifer_tarandus_E	Rangifer_tarandus_E	0.0115619	0.132951
Cervus_hanglu_E	Muntiacus_reevesi_E	0.00535649	0.169824
Cervus_hanglu_E	Przewalskium_albirostris_E	0.0155556	0.135468
Cervus_hanglu_E	Cervus_hanglu_E	0.00235589	0.118206
Przewalskium_albirostris_E	Przewalskium_albirostris_E	0.00233828	0.118222
Muntiacus_reevesi_E	Muntiacus_reevesi_E	0.0236156	0.128902
Giraffa_tippelskirchi_E	Okapia_johnstoni_E	0.0230915	0.103778
Giraffa_tippelskirchi_E	Giraffa_tippelskirchi_E	0.0175269	0.122157
Okapia_johnstoni_E	Okapia_johnstoni_E	0.0194631	0.110601
Tragulus_javanicus_E	Tragulus_javanicus_E	0.133865	0.100651
Delphinapterus_leucas_E	Hippopotamus_amphibius_E	0.00842065	0.109624
Delphinapterus_leucas_E	Eschrichtius_robustus_E	0.036574	0.0946993
Delphinapterus_leucas_E	Lagenorhynchus_obliquidens_E	0.016486	0.11468
Delphinapterus_leucas_E	Phocoena_phocoena_E	0.00392871	0.116032
Delphinapterus_leucas_E	Monodon_monoceros_E	0.00474963	0.136731
Delphinapterus_leucas_E	Delphinapterus_leucas_E	0.00305705	0.120672
Monodon_monoceros_E	Monodon_monoceros_E	0.00300157	0.108764
Neophocaena_asiaeorientalis_E	Phocoena_phocoena_E	0.00720865	0.121651
Neophocaena_asiaeorientalis_E	Neophocaena_asiaeorientalis_E	0.0030759	0.115285
Phocoena_phocoena_E	Phocoena_phocoena_E	0.00342951	0.116149
Globicephala_melas_E	Lagenorhynchus_obliquidens_E	0.00733813	0.122058
Globicephala_melas_E	Orcinus_orca_E	0.000398396	0.113302
Globicephala_melas_E	Tursiops_truncatus_E	0.000702356	0.113647
Globicephala_melas_E	Globicephala_melas_E	0.00492648	0.122872
Sousa_chinensis_E	Tursiops_truncatus_E	0.00207766	0.118633
Sousa_chinensis_E	Sousa_chinensis_E	0.00288682	0.115257
Tursiops_truncatus_E	Tursiops_truncatus_E	0.00278389	0.113605
Orcinus_orca_E	Orcinus_orca_E	0.00582391	0.122747
Lagenorhynchus_obliquidens_E	Lagenorhynchus_obliquidens_E	0.005339	0.116243
Eschrichtius_robustus_E	Eschrichtius_robustus_E	0.0200591	0.127288
Hippopotamus_amphibius_E	Hippopotamus_amphibius_E	0.0758778	0.0939993
Camelus_ferus_E	Vicugna_pacos_E	0.102686	0.121079
Camelus_ferus_E	Camelus_ferus_E	0.0156543	0.110286
Vicugna_pacos_E	Vicugna_pacos_E	0.0178083	0.134613
Dicerorhinus_sumatrensis_E	Tapirus_terrestris_E	0.0429465	0.121281
Dicerorhinus_sumatrensis_E	Diceros_bicornis_E	0.0423441	0.0947399
Dicerorhinus_sumatrensis_E	Dicerorhinus_sumatrensis_E	0.0179083	0.124724
Diceros_bicornis_E	Diceros_bicornis_E	0.017565	0.10826
Tapirus_terrestris_E	Tapirus_terrestris_E	0.0585886	0.0852346
Manis_javanica_E	Panthera_tigris_E	0.00992128	0.110624
Manis_javanica_E	Manis_javanica_E	0.163431	0.0813978
Ailuropoda_melanoleuca_E	Panthera_tigris_E	0.0537137	0.104811
Ailuropoda_melanoleuca_E	Vulpes_vulpes_E	0.0218622	0.102001
Ailuropoda_melanoleuca_E	Neomonachus_schauinslandi_E	0.0211732	0.136547
Ailuropoda_melanoleuca_E	Ursus_thibetanus_E	0.0450198	0.112519
Ailuropoda_melanoleuca_E	Ailuropoda_melanoleuca_E	0.0219733	0.103062
Ursus_thibetanus_E	Ursus_thibetanus_E	0.019592	0.112862
Ailurus_fulgens_E	Neomonachus_schauinslandi_E	0.00526137	0.13956
Ailurus_fulgens_E	Martes_zibellina_E	0.0238266	0.151406
Ailurus_fulgens_E	Ailurus_fulgens_E	0.0581565	0.105357
Enhydra_lutris_E	Martes_zibellina_E	0.0442076	0.123359
Enhydra_lutris_E	Neovison_vison_E	0.00745235	0.109718
Enhydra_lutris_E	Lontra_canadensis_E	0.00999701	0.114795
Enhydra_lutris_E	Lutra_lutra_E	0.00505999	0.11255
Enhydra_lutris_E	Enhydra_lutris_E	0.0104589	0.118943
Lutra_lutra_E	Lutra_lutra_E	0.0124472	0.113668
Lontra_canadensis_E	Lontra_canadensis_E	0.0163402	0.104186
Mustela_putorius_E	Neovison_vison_E	0.0142179	0.140908
Mustela_putorius_E	Mustela_putorius_E	0.0414994	0.193379
Neovison_vison_E	Neovison_vison_E	0.0173428	0.128053
Martes_zibellina_E	Martes_zibellina_E	0.0245379	0.113707
Eumetopias_jubatus_E	Neomonachus_schauinslandi_E	0.0275432	0.110518
Eumetopias_jubatus_E	Odobenus_rosmarus_E	0.0157552	0.121743
Eumetopias_jubatus_E	Zalophus_californianus_E	0.0120687	0.163236
Eumetopias_jubatus_E	Eumetopias_jubatus_E	0.00215866	0.112355
Zalophus_californianus_E	Zalophus_californianus_E	0.00249916	0.129325
Odobenus_rosmarus_E	Odobenus_rosmarus_E	0.0118066	0.111958
Halichoerus_grypus_E	Neomonachus_schauinslandi_E	0.0120616	0.11612
Halichoerus_grypus_E	Halichoerus_grypus_E	0.0122964	0.133592
