SPECIES_BINOMIAL,GENUS,SPECIES,FAMILY,IUCN_STATUS,THREATENED_STATUS,GEOGRAPHIC_REGION,MEDIAN_N_HET,MEDIAN_CALLABLE,MEDIAN_nRoH_1mb,MEDIAN_sRoH_1mb,MEDIAN_fRoH_1mb,MEDIAN_COVERAGE,REFERENCE_LENGTH,MEDIAN_HETEROZYGOSITY,GENERATION_LENGTH,MU_PER_GENERATION,MU_PER_YEAR,EFFECTIVE_POP_SIZE,CombinedTestesMass.in.g,BrainSizeSpeciesMean,Body.MassMaleMean,BodyMassFemaleMean,MassDimorphism,CanineDimorphism,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,InterbirthInterval_days,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,HomeRange_km2,DayLength_km,Territoriality,Fruit,Leaves,Fauna,Feed,Move,Rest,Social,Mating.System,SocialSystem,NatalDispersal
Rhinopithecus_bieti,Rhinopithecus,bieti,Cercopithecidae,EN,Threatened,ASIA,958793,2292186700,314,525600000,0.172982337,26.56,3038460517,0.000418287,13,5.17E-09,3.98E-10,20227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,28.69,1820.9,2.6,792.1,1018.5,0.25,1.31,0.2322,NA,86,NA,NA,NA,NA,13.1,NA,Polygyny,Bisexual
Rhinopithecus_roxellana,Rhinopithecus,roxellana,Cercopithecidae,EN,Threatened,ASIA,1094109,2660640897,207,834000000,0.274481105,33.84,3038460517,0.00041122,13,4.88E-09,3.75E-10,21067,NA,117.76,17900,11600,1543,2.508,NA,NA,NA,NA,NA,199.34,NA,354,1,32.32,734,9,749.4,870.6,24.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygynandry,Bisexual
Saguinus_bicolor,Saguinus,bicolor,Callitrichidae,CR,Threatened,AMERICAS,2671976,2438619190,159,520400000,0.175294853,24.33,2968712378,0.001095692,6,5.36E-09,8.93E-10,51105,NA,NA,428,430,995,NA,7.5,NA,NA,NA,NA,160,NA,228,2,-1.74,1299.9,26.2,1446.9,1659.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus_imperator,Saguinus,imperator,Callitrichidae,LC,Unthreatened,AMERICAS,5180835,2305817722,86,174600000,0.058813377,24.41,2968712378,0.002246854,8,5.86E-09,7.33E-10,95856,NA,NA,474,475,998,NA,7,1,1,1,NA,145,NA,242.4,2,-9.23,2127.9,24.9,1499.1,1570.9,0.22,2.06,3.8922,NA,NA,NA,NA,NA,NA,NA,NA,Pair,Bisexual
Saguinus_labiatus,Saguinus,labiatus,Callitrichidae,LC,Unthreatened,AMERICAS,3014168.5,2357366108,25,73300000,0.024690839,25.12,2968712378,0.001277905,7,5.62E-09,8.03E-10,56846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus_midas,Saguinus,midas,Callitrichidae,LC,Unthreatened,AMERICAS,5600998,2331846474,38,57800000,0.01946972,25.51,2968712378,0.002401958,7,6.16E-09,8.80E-10,97482,1.83,9.78,535,591,905,0.991,NA,NA,NA,NA,206.83,127,69.6,184.8,2.02,-0.17,1606.8,25.3,1441.5,1667,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polyandry,Pair,Bisexual
Saguinus_mystax,Saguinus,mystax,Callitrichidae,LC,Unthreatened,AMERICAS,3476984,2371790639,144,587600000,0.197930929,26.87,2968712378,0.001465974,7,5.74E-09,8.20E-10,63849,NA,11.09,629.3,538,1170,NA,7,2.2,2,0.91,168.5,145,NA,240,1.93,-6.23,1948.5,25.6,1532.1,1569.1,0.21,1.85,3.5777,NA,NA,NA,25,29.6,27.2,4.7,NA,NA,NA
Saguinus_oedipus,Saguinus,oedipus,Callitrichidae,CR,Threatened,AMERICAS,1814318,2272737469,21,23400000,0.007882205,28.64,2968712378,0.000798296,6,4.82E-09,8.03E-10,41405,3.4,9.76,416.6,445.1,936,1,5.8,2.7,1.7,0.63,233.06,178,49.85,277.2,1.9,9.22,1202.9,26.3,1367.1,1586.1,0.06,1.9,6.8742,NA,5,37,NA,NA,NA,NA,Polyandry,Pair,Bisexual
Saimiri_cassiquiarensis,Saimiri,cassiquiarensis,Cebidae,LC,Unthreatened,AMERICAS,3109852,2093908502,76,171000000,0.059489802,27.02,2874442237,0.001490483,9,6.25E-09,6.94E-10,59619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saimiri_macrodon,Saimiri,macrodon,Cebidae,DD,DD,AMERICAS,3974298,2070385973,46,95600000,0.033258626,27.14,2874442237,0.00192093,9,4.10E-09,4.56E-10,117130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygynandry,NA
