SPECIES_BINOMIAL,GENUS,SPECIES,FAMILY,IUCN_STATUS,THREATENED_STATUS,GEOGRAPHIC_REGION,MEDIAN_N_HET,MEDIAN_CALLABLE,MEDIAN_nRoH_1mb,MEDIAN_sRoH_1mb,MEDIAN_fRoH_1mb,MEDIAN_COVERAGE,REFERENCE_LENGTH,MEDIAN_HETEROZYGOSITY,GENERATION_LENGTH,MU_PER_GENERATION,MU_PER_YEAR,EFFECTIVE_POP_SIZE,CombinedTestesMass.in.g,BrainSizeSpeciesMean,Body.MassMaleMean,BodyMassFemaleMean,MassDimorphism,CanineDimorphism,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,InterbirthInterval_days,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,HomeRange_km2,DayLength_km,Territoriality,Fruit,Leaves,Fauna,Feed,Move,Rest,Social,Mating.System,SocialSystem,NatalDispersal
Allenopithecus_nigroviridis,Allenopithecus,nigroviridis,Cercopithecidae,LC,Unthreatened,MAINLAND_AFRICA,3264818,2358786082,68,117300000,0.041547954,28.025,2823243693,0.001386205,10,3.33E-09,3.33E-10,104069,16.96,58.02,6130,3180,1928,2.21,NA,NA,NA,NA,NA,NA,106.15,276,1.01,-0.17,1574,25.2,1517.8,1589.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygynandry,Sexbiased
Allochrocebus_lhoesti,Allochrocebus,lhoesti,Cercopithecidae,VU,Threatened,MAINLAND_AFRICA,6593671.5,2409475330,48,171400000,0.06071031,28.07,2823243693,0.002737645,10,5.46E-09,5.46E-10,125350,NA,74.2,5970,3450,1730,1.84,NA,NA,NA,NA,485.45,NA,NA,192,1,-1.13,1271.3,22.6,1418.5,1597.6,NA,NA,NA,24.5,35.2,8.8,NA,NA,NA,11.4,Harem_Polygyny,Polygyny,Sexbiased
Allochrocebus_preussi,Allochrocebus,preussi,Cercopithecidae,EN,Threatened,MAINLAND_AFRICA,7207080,2412708198,114,221600000,0.078491276,29.16,2823243693,0.002987133,10,4.91E-09,4.91E-10,152094,NA,NA,NA,NA,NA,1.774,NA,NA,NA,NA,NA,NA,NA,312,1.02,4.78,2348.2,24.5,1255.2,1565.5,NA,NA,NA,51.9,41.4,1,NA,NA,NA,NA,NA,Polygyny,Sexbiased
Allochrocebus_solatus,Allochrocebus,solatus,Cercopithecidae,NT,Unthreatened,MAINLAND_AFRICA,8111551,2366147578,114,454800000,0.161091301,26.61,2823243693,0.003428168,10,4.39E-09,4.39E-10,195226,NA,NA,6890,3920,1758,NA,NA,NA,NA,NA,547.5,NA,NA,NA,1.01,-0.8,1734.9,24.8,1278.6,1502.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygyny,Sexbiased
Alouatta_belzebul,Alouatta,belzebul,Atelidae,VU,Threatened,AMERICAS,4780424,2200207707,29,63800000,0.023779096,27.18,2683028796,0.002172715,12,8.54E-09,7.12E-10,63604,NA,52.84,7270,5520,1317,1.811,7,1,1,1,NA,NA,NA,NA,NA,-6.8,1643.5,24.9,1286.6,1549.8,NA,NA,NA,57.3,19.1,0,13.75,18.75,57.3,10,NA,NA,NA
Alouatta_caraya,Alouatta,caraya,Atelidae,NT,Unthreatened,AMERICAS,3202657.5,2112248572,107,321000000,0.119640907,24.795,2683028796,0.001506773,12,7.65E-09,6.38E-10,49241,18.37,52.63,6525,4240,1539,1.542,8,2.3,3.3,1.43,337.62,187,323.16,243.6,1.01,-20.34,1166.4,22.9,1193.1,1404.9,NA,0.4,NA,23.8,67.7,0,15.9,17.6,61.6,4.9,Harem_Polygyny,Polygynandry,Bisexual
Alouatta_discolor,Alouatta,discolor,Atelidae,VU,Threatened,AMERICAS,5379670.5,2193395711,69,277400000,0.103390616,28.285,2683028796,0.002452867,12,1.04E-08,8.67E-10,58963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_juara,Alouatta,juara,Atelidae,LC,Unthreatened,AMERICAS,6010465.5,2195729770,33,50400000,0.018784741,35.015,2683028796,0.002738039,11,8.02E-09,7.29E-10,85350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_macconnelli,Alouatta,macconnelli,Atelidae,LC,Unthreatened,AMERICAS,5315059,2198897789,53,109200000,0.040700271,29.59,2683028796,0.002420172,12,9.52E-09,7.93E-10,63555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_nigerrima,Alouatta,nigerrima,Atelidae,LC,Unthreatened,AMERICAS,6796500.5,2201649030,16.5,48900000,0.018225671,28.75,2683028796,0.003087021,11,8.20E-09,7.45E-10,94116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_palliata,Alouatta,palliata,Atelidae,VU,Threatened,AMERICAS,921702,2219370858,465,1338400000,0.498839223,36.81,2683028796,0.000415299,9.79,5.58E-09,5.70E-10,18607,24,49.88,7150,5350,1336,1.703,12,2.9,6.3,2.17,684.37,186,495.6,300,1.02,6.95,1852.6,23.7,1300,1633.9,0.19,0.32,0.6506,33.1,56.4,0,17.94,12.32,66.14,3.64,Harem_Polygyny,Polygynandry,Bisexual
Alouatta_puruensis,Alouatta,puruensis,Atelidae,VU,Threatened,AMERICAS,4714780,2204642916,105,311000000,0.115913776,30.97,2683028796,0.002149982,10.7,7.99E-09,7.47E-10,67271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_seniculus,Alouatta,seniculus,Atelidae,LC,Unthreatened,AMERICAS,6051253,2201414715,42,74400000,0.027729855,30.56,2683028796,0.002744079,11,1.01E-08,9.18E-10,67923,3.75,55.22,6690,5210,1284,1.464,7.1,1.7,2.2,1.29,507.35,190,370.04,300,1.42,0.68,1823.4,25.1,1449.8,1574.9,0.1,0.55,1.5414,40,48.1,0,12.7,6.2,78.5,2.5,Harem_Polygyny,Polygynandry,Bisexual
Aotus_azarae,Aotus,azarae,Aotidae,LC,Unthreatened,AMERICAS,2147913.5,2296051863,515.5,996700000,0.348293331,36.365,2861668348,0.000936186,9,4.77E-09,5.30E-10,49066,NA,20.67,1180,1230,959,NA,3.1,1,1,1,365,NA,229.69,360,1,-17.05,1010.9,24.6,1186.2,1410.8,0.95,NA,NA,45,41,NA,NA,NA,NA,NA,Monogamy,Pair,Bisexual
Aotus_griseimembra,Aotus,griseimembra,Aotidae,VU,Threatened,AMERICAS,4050793.5,2288871185,168,525700000,0.183704027,38.275,2861668348,0.001770461,8,4.81E-09,6.01E-10,92020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bisexual
Aotus_trivirgatus,Aotus,trivirgatus,Aotidae,LC,Unthreatened,AMERICAS,2766158,2288027661,344,558600000,0.195200817,33.25,2861668348,0.001208971,10,5.37E-09,5.37E-10,56284,1.2,16.85,1044.4,933.3,1119,1.11,2.9,1,1,1,271,142,76.21,303.6,1.06,4.15,1786,24.8,1488.1,1676.3,0.02,0.66,4.1359,45.5,10,15,NA,NA,NA,NA,Monogamy,Pair,Bisexual
Aotus_vociferans,Aotus,vociferans,Aotidae,LC,Unthreatened,AMERICAS,8230863,2289858300,9,16200000,0.005661033,32.79,2861668348,0.003597122,8,4.54E-09,5.68E-10,198079,NA,NA,708,698,1014,NA,3.3,1,1,1,NA,NA,NA,265.2,1.02,1.06,2174.4,25.3,1476.4,1511.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctocebus_calabarensis,Arctocebus,calabarensis,Lorisidae,NT,Unthreatened,MAINLAND_AFRICA,2482242,1630415318,65,137600000,0.048654022,24.44,2828132058,0.00152246,4.6,4.76E-09,1.03E-09,79961,NA,6.92,312,306,1020,1,NA,NA,NA,NA,144.47,133,109.26,156,1.01,5.52,1844.4,24.8,1218,1530.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spatial_Polygyny,Solitary,Bisexual
Ateles_belzebuth,Ateles,belzebuth,Atelidae,EN,Threatened,AMERICAS,6917376.5,2353227927,113.5,195900000,0.073014498,34.315,2683028796,0.002939515,15,8.94E-09,5.96E-10,82201,NA,117.02,7850,8484.4,925,NA,22.125,4.25,8.75,2.06,1095,184,NA,336,1.02,-0.44,2270.1,25.8,1493.3,1513,2.28,2.3,1.3499,82.7,9,0.4,18.97,23.53,54.73,2.73,Polygynandry,Polygynandry,Sexbiased
Ateles_chamek,Ateles,chamek,Atelidae,EN,Threatened,AMERICAS,5001694.5,2367268231,37,67400000,0.025120863,33.375,2683028796,0.002161421,15,1.07E-08,7.13E-10,50500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles_geoffroyi,Ateles,geoffroyi,Atelidae,EN,Threatened,AMERICAS,5149034,2384758438,45,124600000,0.046440053,36.23,2683028796,0.002159143,15,6.86E-09,4.57E-10,78686,13.4,105.09,7780,7290,1067,1.579,15,NA,4.1,NA,1048.15,232,816.35,327.6,1.01,12.38,1539.3,24.3,1344.1,1624.9,0.73,1.7,1.7633,76.8,14.9,1.4,33.5,32.6,24.1,9.8,Polygynandry,Polygynandry,Sexbiased
Ateles_marginatus,Ateles,marginatus,Atelidae,EN,Threatened,AMERICAS,4747049,2292986127,64,142400000,0.053074347,41.51,2683028796,0.002070248,15,1.08E-08,7.20E-10,47922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles_paniscus,Ateles,paniscus,Atelidae,VU,Threatened,AMERICAS,2753806,2333642013,75,137900000,0.051397138,31.98,2683028796,0.001179504,15,8.32E-09,5.55E-10,35442,64.23,103.85,8490,8070,1052,1.567,18.2,4,2.3,0.58,1072.18,229,805.41,453.6,1,2.06,1576.9,25.6,1456.6,1696.9,1.36,2.4,1.8238,79.8,7.9,0.1,NA,NA,NA,0.9,Polygynandry,Polygynandry,Sexbiased
Avahi_laniger,Avahi,laniger,Indriidae,VU,Threatened,MADAGASCAR,8280899,1743312631,9,16600000,0.005932487,27.94,2798152141,0.004750094,10,7.89E-09,7.89E-10,150510,2.09,9.86,1106,1307,846,0.942,3,1,1,1,365,136.15,149.15,NA,1.01,-19.63,1769,19.7,1334.1,1600.1,0.01,0.46,4.0766,NA,NA,NA,NA,NA,NA,NA,Monogamy,Pair,Bisexual
Cacajao_ayresi,Cacajao,ayresi,Pitheciidae,LC,Unthreatened,AMERICAS,1435645,2334966266,327,544600000,0.200114666,33.74,2721439713,0.000614846,10,1.05E-08,1.05E-09,14639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacajao_calvus,Cacajao,calvus,Pitheciidae,VU,Threatened,AMERICAS,2864874,2328999121,123,210200000,0.077238529,33.54,2721439713,0.001229204,10,5.10E-09,5.10E-10,60255,5.8,76,3450,2880,1198,1.255,48,16,16,1,775.62,182,339.29,324,1.01,-5.73,2118.6,25.5,1516,1535.6,5.25,3.75,1.4504,18.4,3.3,5.2,NA,NA,NA,NA,Harem_Polygyny,Polygynandry,NA
Cacajao_hosomi,Cacajao,hosomi,Pitheciidae,VU,Threatened,AMERICAS,2080304,2315443861,103.5,159800000,0.05871892,30.46,2721439713,0.000898627,10,7.97E-09,7.97E-10,28188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacajao_melanocephalus,Cacajao,melanocephalus,Pitheciidae,LC,Unthreatened,AMERICAS,2282721,2328154034,73,177400000,0.065186085,33.31,2721439713,0.000980569,10,8.99E-09,8.99E-10,27268,NA,68.77,3160,2710,1166,NA,NA,NA,NA,NA,NA,NA,NA,216,1,0.53,2310.2,25.1,1581,1597.1,NA,NA,NA,28.8,4,2,NA,NA,NA,NA,NA,NA,NA
Callimico_goeldii,Callimico,goeldii,Callitrichidae,VU,Threatened,AMERICAS,2877777,2225419532,105,187600000,0.065505889,22.51,2863864636,0.001293139,6,3.84E-09,6.40E-10,84189,NA,11.43,499,468,1066,NA,7.2,1,2,2,182.5,153,66.53,214.8,1.05,-5.33,2091.9,26,1476.2,1518.1,0.32,2,3.1333,29,0,34,14,17,66,3,Monogamy,Pair,Bisexual
Callithrix_geoffroyi,Callithrix,geoffroyi,Callitrichidae,LC,Unthreatened,AMERICAS,8140370,2366526309,3,3200000,0.001117371,22.66,2863864636,0.003439797,6,6.27E-09,1.05E-09,137153,NA,NA,NA,NA,NA,NA,5,2,1,0.5,NA,NA,NA,211.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,Monogamy,Pair,Bisexual
Callithrix_jacchus,Callithrix,jacchus,Callitrichidae,LC,Unthreatened,AMERICAS,2782447,2303262483,183,394600000,0.137785842,21.36,2863864636,0.001208046,6,8.41E-09,1.40E-09,35911,1.3,7.24,318,322,988,1.056,11,2.3,2.9,1.26,159.8,144,60.24,201.6,2.31,-6.58,993.9,25,912.7,1488.6,0.02,0.88,5.5146,22,0,11,43,14,30,14,Polyandry,Pair,Bisexual
Callithrix_kuhlii,Callithrix,kuhlii,Callitrichidae,VU,Threatened,AMERICAS,6933970,2465881357,3,5800000,0.002025235,25.27,2863864636,0.002811964,6,6.92E-09,1.15E-09,101588,NA,NA,NA,NA,NA,NA,5,2,1,0.5,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pair,Bisexual
Carlito_syrichta,Carlito,syrichta,Tarsiidae,NT,Unthreatened,ASIA,5772899,2551702192,1,1000000,0.000289531,27.64,3453864774,0.002262372,7.5,7.58E-09,1.01E-09,74616,NA,3.36,134,117,1145,NA,NA,NA,NA,NA,NA,179,82.49,180,1.01,9.07,1831,24.1,1565.2,1739.4,0.048,1.38,5.5822,NA,NA,NA,NA,NA,NA,NA,Spatial_Polygyny,Solitary,Bisexual
Cebuella_niveiventris,Cebuella,niveiventris,Callitrichidae,VU,Threatened,AMERICAS,2548214,2445392447,176,501500000,0.175113025,30.495,2863864636,0.001042029,6.5,6.04E-09,9.29E-10,43130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebuella_pygmaea,Cebuella,pygmaea,Callitrichidae,VU,Threatened,AMERICAS,3477302,2449447636,64,126600000,0.044206,27.24,2863864636,0.001419627,6.5,5.75E-09,8.85E-10,61723,0.33,4.17,110,122,902,1.034,2,1.5,1,0.67,182.5,125,90.73,181.2,1.93,-5.96,2085.3,25.6,1483.2,1526.1,0.002,0.29,5.5846,NA,NA,NA,NA,NA,NA,NA,Polyandry,Pair,Bisexual
Cebus_albifrons,Cebus,albifrons,Cebidae,LC,Unthreatened,AMERICAS,4028401,2360796463,79,165400000,0.057541598,28.02,2874442237,0.00170746,15,1.32E-08,8.80E-10,32338,NA,65.45,3180,2290,1389,NA,25.1,3.8,6.5,1.71,547.5,158,270.32,528,1.01,-0.82,1929.9,25.3,1466.7,1559.7,0.53,1.8,2.1912,24.6,20,10,NA,NA,NA,NA,Polygynandry,Polygynandry,Sexbiased
Cebus_olivaceus,Cebus,olivaceus,Cebidae,LC,Unthreatened,AMERICAS,3582064,2361562884,87.5,171400000,0.05962896,29.76,2874442237,0.001517172,17,1.25E-08,7.35E-10,30343,NA,69.84,3229.2,2633.3,1226,1.573,21,3.5,6.9,1.97,792.05,162,725.86,492,1.01,4.78,1555.2,24.9,1476.6,1703.1,1.7,2.3,1.5633,48,8,36,NA,NA,NA,1.7,Polygynandry,Polygynandry,NA
Cebus_unicolor,Cebus,unicolor,Cebidae,VU,Threatened,AMERICAS,5022214,2363972627,31.5,75200000,0.026161597,27.575,2874442237,0.002124351,16,1.45E-08,9.06E-10,36627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopachus_bancanus,Cephalopachus,bancanus,Tarsiidae,EN,Threatened,ASIA,6994881,2391074661,8,10800000,0.003126932,29.3,3453864774,0.002925413,7.5,7.46E-09,9.95E-10,98037,NA,3.16,128,123,1041,NA,NA,NA,NA,NA,240.29,178,78.55,144,1,0.56,2563.9,24.7,1702.8,1734.7,0.04,1.8,7.976,NA,NA,NA,NA,NA,NA,NA,Spatial_Polygyny,Solitary,Bisexual
Cercocebus_chrysogaster,Cercocebus,chrysogaster,Cercopithecidae,EN,Threatened,MAINLAND_AFRICA,4601133,2382275450,110,172000000,0.060388035,29.71,2848246356,0.001931403,10,3.36E-09,3.36E-10,143706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus_lunulatus,Cercocebus,lunulatus,Cercopithecidae,EN,Threatened,MAINLAND_AFRICA,6143337,2396578487,19,27200000,0.009549736,32.51,2848246356,0.002563378,9,5.80E-09,6.44E-10,110490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus_torquatus,Cercocebus,torquatus,Cercopithecidae,EN,Threatened,MAINLAND_AFRICA,5391239,2384801468,0.5,500000,0.000175547,34.2,2848246356,0.002260819,9,5.13E-09,5.70E-10,110176,NA,105.99,9470,5500,1722,NA,26.9,NA,NA,NA,434.35,167,NA,360,1.01,4.2,1756.2,25.2,1238.3,1560.8,NA,NA,NA,NA,13,2,NA,NA,NA,NA,NA,Polygynandry,Sexbiased
Cercopithecus_ascanius,Cercopithecus,ascanius,Cercopithecidae,LC,Unthreatened,MAINLAND_AFRICA,16340337,2348276404,16,54500000,0.019512534,26.855,2793076453,0.00713517,12,6.04E-09,5.03E-10,295330,3,59.58,4527.6,2901,1561,1.56,28.8,1,8.5,8.5,1580.45,147,146.54,339.6,1.01,-2.71,1310.1,23.7,1302.5,1551.8,0.16,1.5,3.3233,54.8,14.2,23.3,34,17,10,NA,Harem_Polygyny,Polygyny,Sexbiased
Cercopithecus_cephus,Cercopithecus,cephus,Cercopithecidae,LC,Unthreatened,MAINLAND_AFRICA,16871410,2369636690,11,43000000,0.015395211,28.25,2793076453,0.007084097,8,4.45E-09,5.56E-10,397983,NA,65.26,4290,2880,1490,1.702,8,1,3,3,821,172,362.93,276,1.01,-0.42,1498.7,24.4,1299.9,1499.8,0.24,NA,NA,72.5,8.5,11,NA,NA,NA,NA,Harem_Polygyny,Polygyny,Sexbiased
Cercopithecus_diana,Cercopithecus,diana,Cercopithecidae,EN,Threatened,MAINLAND_AFRICA,11165353,2336754060,26,95600000,0.034227491,31.44,2793076453,0.004778146,9,3.91E-09,4.34E-10,305508,NA,62.61,5200,3900,1333,1.618,24,1,7,7,365,NA,362.93,447.6,1.01,6.65,2375.7,24.8,1328.4,1541.7,1.25,1.6,1.2683,58.5,15.8,15.9,28.1,27.7,24.4,7.3,Harem_Polygyny,Polygyny,Sexbiased
Cercopithecus_hamlyni,Cercopithecus,hamlyni,Cercopithecidae,VU,Threatened,MAINLAND_AFRICA,11058331,2300791758,0,0,0,30.94,2793076453,0.004806315,10,3.52E-09,3.52E-10,341358,NA,65.9,5490,3360,1634,NA,NA,NA,NA,NA,NA,NA,NA,343.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygyny,Sexbiased
Cercopithecus_lowei,Cercopithecus,lowei,Cercopithecidae,VU,Threatened,MAINLAND_AFRICA,15264502,2362172193,0,0,0,30.24,2793076453,0.006462062,9,4.81E-09,5.34E-10,335866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sexbiased
Cercopithecus_mitis,Cercopithecus,mitis,Cercopithecidae,LC,Unthreatened,MAINLAND_AFRICA,8195440,2348845385,88.5,273300000,0.097849094,28.805,2793076453,0.003448373,13,7.91E-09,6.08E-10,108988,NA,71.33,7590.6,4628,1640,1.97,18.6,1,8.8,8.8,565.75,132,688.08,325.2,1,-1.9,1090.8,22.1,1116.2,1528.5,0.1,1,2.8025,51.6,20.4,17.5,39.7,19.4,27.6,9.5,Harem_Polygyny,Polygynandry,Sexbiased
Cercopithecus_mona,Cercopithecus,mona,Cercopithecidae,NT,Unthreatened,MAINLAND_AFRICA,8274864,2368617660,11,17200000,0.006158084,28.64,2793076453,0.003493541,11,5.61E-09,5.10E-10,155684,NA,61.84,4705,2733,1722,1.9,4.8,1,1.9,1.9,NA,NA,NA,360,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harem_Polygyny,Polygyny,Sexbiased
Cercopithecus_neglectus,Cercopithecus,neglectus,Cercopithecidae,LC,Unthreatened,MAINLAND_AFRICA,5099505.5,2363392912,106.5,209200000,0.074899489,28.815,2793076453,0.002152725,12,4.99E-09,4.16E-10,107852,NA,65.97,7350,4130,1780,1.776,4.5,1.5,1.5,1,584,177,417.62,315.6,1.02,-1.11,1382.9,24.1,1329.5,1559.7,0.06,0.42,1.5196,74.4,9.1,4.7,NA,NA,NA,NA,Harem_Polygyny,Polygyny,Sexbiased
Cercopithecus_nictitans,Cercopithecus,nictitans,Cercopithecidae,NT,Unthreatened,MAINLAND_AFRICA,10704573,2397297987,21,56300000,0.020156985,31.15,2793076453,0.004465042,9,4.82E-09,5.36E-10,231589,NA,71.13,6670,4260,1566,1.613,13,1,5,5,719,172,NA,276,1,1.69,1482.7,24.7,1267.2,1553.9,1.15,1.5,1.2396,75.6,14.3,4,NA,NA,NA,NA,Harem_Polygyny,Polygyny,Sexbiased
Cercopithecus_petaurista,Cercopithecus,petaurista,Cercopithecidae,NT,Unthreatened,MAINLAND_AFRICA,8570518,2354175957,29,90200000,0.032294139,27.33,2793076453,0.00364056,11,4.97E-09,4.52E-10,183127,NA,55.08,4300,2918.2,1474,1.777,11.3,1.16,5.67,4.89,NA,NA,NA,228,1.02,8.93,1677.7,25.9,1205.3,1560,NA,NA,NA,33.6,39.7,12.3,34.3,25.6,23.8,5.4,NA,Polygyny,Sexbiased
Cercopithecus_pogonias,Cercopithecus,pogonias,Cercopithecidae,NT,Unthreatened,MAINLAND_AFRICA,10390415,2378482569,0,0,0,28.46,2793076453,0.004368506,9,3.90E-09,4.33E-10,280032,NA,59.56,4260,2900,1469,1.652,13,1,5,5,730,165,NA,289.2,1.01,1.53,1460.5,24.5,1269.6,1538.7,1.15,1.75,1.4462,74.5,4,11.5,NA,NA,NA,NA,Harem_Polygyny,Polygyny,NA
Cercopithecus_roloway,Cercopithecus,roloway,Cercopithecidae,CR,Threatened,MAINLAND_AFRICA,10835084,2344538863,1,1000000,0.000358028,35.53,2793076453,0.004621414,9,3.33E-09,3.70E-10,346953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheirogaleus_major,Cheirogaleus,major,Cheirogaleidae,VU,Threatened,MADAGASCAR,8432184,1731958454,13,21600000,0.008683794,33.55,2487392024,0.004868583,8,3.35E-09,4.19E-10,363327,NA,5.81,438,362,1210,NA,1,1,1,NA,NA,65,47.14,180,2.26,-18.76,1676.3,20.3,1320.2,1592.7,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spatial_Polygyny,Solitary,Bisexual
Cheirogaleus_medius,Cheirogaleus,medius,Cheirogaleidae,VU,Threatened,MADAGASCAR,2361906,1732945184,210,692600000,0.278444247,35.14,2487392024,0.001362943,7,2.85E-09,4.07E-10,119556,1.12,2.6,140,139,1007,0.942,1,1,1,NA,365,61,60.65,231.6,2.04,-19.03,850.8,24,899.7,1625.8,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monogamy,Solitary,Bisexual
Cheracebus_lucifer,Cheracebus,lucifer,Pitheciidae,LC,Unthreatened,AMERICAS,6039969,2222415832,33.5,65200000,0.023957907,27.395,2721439713,0.002754162,9,4.88E-09,5.42E-10,141094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheracebus_lugens,Cheracebus,lugens,Pitheciidae,LC,Unthreatened,AMERICAS,2725750.5,2226285184,38.5,62700000,0.023039276,29.09,2721439713,0.001221662,8,3.91E-09,4.89E-10,78111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheracebus_regulus,Cheracebus,regulus,Pitheciidae,LC,Unthreatened,AMERICAS,2649619.5,2224045184,14.5,20400000,0.007496032,29.295,2721439713,0.001191351,8,6.77E-09,8.46E-10,43994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheracebus_torquatus,Cheracebus,torquatus,Pitheciidae,LC,Unthreatened,AMERICAS,4664533,2227262396,33,80400000,0.029543186,35.34,2721439713,0.00209429,8,5.77E-09,7.21E-10,90740,NA,NA,1280,1210,1058,1.059,4.8,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.8,1.3165,71.3,4,20,NA,NA,NA,1.4,Monogamy,Pair,NA
Chiropotes_albinasus,Chiropotes,albinasus,Pitheciidae,VU,Threatened,AMERICAS,2797861,2324417266,74,171800000,0.06312835,28.61,2721439713,0.001202613,10,6.04E-09,6.04E-10,49777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiropotes_israelita,Chiropotes,israelita,Pitheciidae,DD,DD,AMERICAS,3781315.5,2329705165,104,169800000,0.062393445,30.765,2721439713,0.001624909,10,8.70E-09,8.70E-10,46693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
